Period,MIN,P90,EXPECTED,P10,MAX
1,0.02,0.02,0.02,0.02,0.02
2,0.02,0.02,0.02,0.02,0.02
3,0.01,0.01,0.01,0.01,0.01
4,0.03,0.03,0.03,0.03,0.03
5,0.04,0.04,0.04,0.04,0.04
6,0.03,0.03,0.03,0.03,0.03
