Period,MIN,P90,EXPECTED,P10,MAX
1,7843.17,7852.17,7861.66,7874.14,7883.93
2,7836.61,7840.48,7854.46,7868.42,7883.03
3,7421.58,7438.04,7449.55,7461.16,7465.16
4,7643.43,7661.22,7672.54,7684.12,7696.76
5,7400.45,7412.02,7421.87,7434.4,7439.84
6,7315.93,7334.98,7345.51,7357.18,7358.87
