Period,MIN,P90,EXPECTED,P10,MAX
1,6.29e+06,6.29e+06,6.29e+06,6.29e+06,6.29e+06
2,6.2825e+06,6.2825e+06,6.2825e+06,6.2825e+06,6.2825e+06
3,5.96e+06,5.96e+06,5.96e+06,5.96e+06,5.96e+06
4,6.1375e+06,6.1375e+06,6.1375e+06,6.1375e+06,6.1375e+06
5,5.935e+06,5.935e+06,5.935e+06,5.935e+06,5.935e+06
6,5.875e+06,5.875e+06,5.875e+06,5.875e+06,5.875e+06
