Period,MIN,P90,EXPECTED,P10,MAX
1,27748.4,27769.5,27791,27814.8,27844.8
2,23387.3,23393.6,23416.2,23437.3,23460.6
3,23809.7,23817.4,23839.2,23865.3,23883.7
4,23627,23638.5,23663.8,23687.8,23721.3
5,23833,23841.2,23862.9,23885.1,23915.4
6,23915.3,23925.4,23949.1,23967,24010.8
