Period,MIN,P90,EXPECTED,P10,MAX
1,6.29,6.29,6.29,6.29,6.29
2,6.28,6.28,6.28,6.28,6.28
3,5.96,5.96,5.96,5.96,5.96
4,6.13,6.13,6.13,6.13,6.13
5,5.93,5.93,5.93,5.93,5.93
6,5.87,5.87,5.87,5.87,5.87
