Period,MIN,P90,EXPECTED,P10,MAX
1,-71.16,-60.12,-22.13,8.66,13.3
2,12.36,19.01,46.88,69.15,78.52
3,31.32,39.36,58.74,74.69,89.04
4,6.67,12.69,25.99,38.99,54.35
5,-32.13,-18.29,8.28,35.71,43.54
6,-3.42,0.9,13.08,23.93,35.4
