Period,MIN,P90,EXPECTED,P10,MAX
1,0.095,0.101,0.13,0.157,0.169
2,0.148,0.158,0.175,0.194,0.206
3,0.159,0.165,0.181,0.196,0.21
4,0.152,0.159,0.169,0.181,0.194
5,0.126,0.142,0.166,0.19,0.202
6,0.14,0.145,0.156,0.167,0.18
