Period,MIN,P90,EXPECTED,P10,MAX
1,22.54,24.13,29.52,33.95,34.6
2,32.13,33.16,37.5,40.96,42.44
3,34.92,36.28,39.53,42.25,44.65
4,31.17,32.26,34.68,37.06,39.85
5,23.25,25.97,31.15,36.53,38.07
6,28.7,29.61,32.19,34.53,36.93
