Period,MIN,P90,EXPECTED,P10,MAX
1,0.016,0.018,0.028,0.043,0.058
2,0.018,0.021,0.027,0.036,0.043
3,0.015,0.018,0.023,0.031,0.034
4,0.025,0.03,0.034,0.04,0.045
5,0.038,0.041,0.047,0.055,0.067
6,0.024,0.026,0.03,0.033,0.039
