Period,MIN,P90,EXPECTED,P10,MAX
1,0.47,0.47,0.47,0.47,0.47
2,0.6,0.6,0.6,0.6,0.6
3,0.68,0.68,0.68,0.68,0.68
4,0.6,0.6,0.6,0.6,0.6
5,0.49,0.49,0.49,0.49,0.49
6,0.58,0.58,0.58,0.58,0.58
