Period,MIN,P90,EXPECTED,P10,MAX
1,28.52,28.52,28.52,28.52,28.52
2,25.01,25.01,25.01,25.01,25.01
3,25.03,25.03,25.03,25.03,25.03
4,25.06,25.06,25.06,25.06,25.06
5,25.02,25.02,25.02,25.02,25.02
6,25.03,25.03,25.03,25.03,25.03
