Period,MIN,P90,EXPECTED,P10,MAX
1,2.22325e+07,2.22325e+07,2.22325e+07,2.22325e+07,2.22325e+07
2,1.8735e+07,1.8735e+07,1.8735e+07,1.8735e+07,1.8735e+07
3,1.907e+07,1.907e+07,1.907e+07,1.907e+07,1.907e+07
4,1.893e+07,1.893e+07,1.893e+07,1.893e+07,1.893e+07
5,1.909e+07,1.909e+07,1.909e+07,1.909e+07,1.909e+07
6,1.91625e+07,1.91625e+07,1.91625e+07,1.91625e+07,1.91625e+07
