Period,MIN,P90,EXPECTED,P10,MAX
1,22.23,22.23,22.23,22.23,22.23
2,18.73,18.73,18.73,18.73,18.73
3,19.07,19.07,19.07,19.07,19.07
4,18.93,18.93,18.93,18.93,18.93
5,19.09,19.09,19.09,19.09,19.09
6,19.16,19.16,19.16,19.16,19.16
