Period,MIN,P90,EXPECTED,P10,MAX
1,2.85225e+07,2.85225e+07,2.85225e+07,2.85225e+07,2.85225e+07
2,2.50175e+07,2.50175e+07,2.50175e+07,2.50175e+07,2.50175e+07
3,2.503e+07,2.503e+07,2.503e+07,2.503e+07,2.503e+07
4,2.50675e+07,2.50675e+07,2.50675e+07,2.50675e+07,2.50675e+07
5,2.5025e+07,2.5025e+07,2.5025e+07,2.5025e+07,2.5025e+07
6,2.50375e+07,2.50375e+07,2.50375e+07,2.50375e+07,2.50375e+07
