Period,MIN,P90,EXPECTED,P10,MAX
1,0.12,0.12,0.12,0.12,0.12
2,0.16,0.16,0.16,0.16,0.16
3,0.17,0.17,0.17,0.17,0.17
4,0.17,0.17,0.17,0.17,0.17
5,0.15,0.15,0.15,0.15,0.15
6,0.16,0.16,0.16,0.16,0.16
