Period,MIN,P90,EXPECTED,P10,MAX
1,35606.2,35625.5,35652.7,35682.2,35717.1
2,31234.1,31247.5,31270.7,31293.3,31325.8
3,31248.6,31265.1,31288.8,31311.8,31327.8
4,31289.5,31306.7,31336.4,31362.2,31396.8
5,31255.8,31259.8,31284.7,31317,31336.8
6,31257.9,31269.9,31294.6,31316.2,31360.3
