Period,MIN,P90,EXPECTED,P10,MAX
1,-71.16,-60.12,-22.13,8.66,13.3
2,-58.79,-41.11,24.74,77.82,91.82
3,-27.46,-1.74,83.48,152.51,180.86
4,-20.79,10.94,109.47,191.51,235.22
5,-52.92,-7.34,117.75,227.23,278.76
6,-56.35,-6.43,130.83,251.16,314.17
